House_ID,Area_SqFt,Rooms,Location,Rating,Age_Years,House_Price_Lakhs
H001,2089,2,Bahria Town,4.1,20,257
H002,1327,5,Gulberg,4.1,11,292
H003,2144,6,DHA,4.0,14,373
H004,1980,4,Bahria Town,3.6,12,308
H005,2809,2,Bahria Town,3.1,21,292
H006,1533,3,DHA,5.0,6,321
H007,2320,4,Gulberg,3.7,30,333
H008,2749,2,F-10,4.0,16,331
H009,2842,2,DHA,5.0,21,357
H010,1832,5,G-11,3.9,17,296
H011,1897,3,Gulberg,3.6,11,289
H012,3104,5,DHA,4.0,3,413
H013,3338,6,F-10,4.2,9,429
H014,840,3,F-10,4.7,15,250
H015,3350,6,Bahria Town,3.1,1,406
H016,3219,4,Gulberg,3.9,24,351
H017,2352,2,Bahria Town,4.6,23,277
H018,1156,2,DHA,4.4,27,251
H019,1039,6,Gulberg,4.2,6,345
H020,3243,6,Bahria Town,3.1,25,351
H021,2902,2,DHA,3.7,14,346
H022,1374,2,Bahria Town,4.1,19,244
H023,2024,4,Bahria Town,3.6,19,274
H024,1774,6,DHA,4.0,17,349
H025,2513,4,Bahria Town,4.3,13,361
H026,877,2,Gulberg,3.3,2,206
H027,813,2,G-11,3.1,12,175
H028,1209,4,Gulberg,3.7,14,290
H029,2206,5,Bahria Town,3.2,19,322
H030,1453,2,Bahria Town,3.4,28,216
H031,2166,6,G-11,4.8,20,319
H032,889,6,DHA,3.7,6,298
H033,3500,2,DHA,3.4,8,386
H034,3391,3,Bahria Town,4.5,25,385
H035,2628,3,DHA,3.2,8,336
H036,1083,6,G-11,4.5,16,279
H037,893,2,G-11,3.9,24,180
H038,877,4,DHA,4.2,7,299
H039,3254,3,Gulberg,3.3,13,351
H040,3454,5,F-10,3.4,10,411
